--  This is WORDS 1.97 dictionary - The order is not exactly alphabetic
A: INTERJ             \Ah!; (distress/regret/pity, appeal/entreaty, surprise/joy, objection/contempt);
ADFABRICATUS, ADFABRICATA, ADFABRICATUM: ADJ    1 1 POS     \fitted/added to by art;
ADFAMEN, ADFAMINIS: N      3 2 N       \greeting, salutation, address;
ADFANIA, ADFANIAE: N      1 1 F       \trifling talk (pl.), chatter; idle jests;
ADFATUS, ADFATUS: N      4 1 M       \address, speech, converse with; pronouncement, utterance (of);
ADFATIM: ADV    POS         \sufficiently, amply, with complete satisfaction;
ADFECTUS, ADFECTA, ADFECTUM: ADJ    1 1 POS     \endowed with, possessed of; minded; affected; impaired, weakened; emotional;
ADFECTUS, ADFECTUS: N      4 1 M       \disposition, state (of body/mind), mood, emotion; affection, passion, love;
ADFECTO, ADFECTARE, ADFECTAVI, ADFECTATUS: V      1 1         \aim at, desire, aspire, try, lay claim to; try to control; feign, pretend;
ADFECTOR, ADFECTARI, -, ADFECTATUS SUM: V      1 1         \aim at, desire, aspire, try, lay claim to; try to control; feign, pretend;
ADFECTATUS, ADFECTATA, ADFECTATUM: ADJ    1 1 POS     \studied, artificial, affected;
ADFECTATIO, ADFECTATIONIS: N      3 1 F       \seeking/striving for, aspiration to; affectation, straining for; claiming;
ADFECTATO: ADV    POS         \studiously, zealously;
ADFECTATOR, ADFECTATORIS: N      3 1 M       \aspirant, zealous seeker (of), one who strives to obtain/produce;
ADFECTE: ADV    POS         \deeply, with (strong) affection;
ADFECTIO, ADFECTIONIS: N      3 1 F       \mental condition, mood, feeling, disposition; affection, love; purpose;
ADFECTIOSUS, ADFECTIOSA, ADFECTIOSUM: ADJ    1 1 POS     \full of affection/attachment;
ADFECTIOSUS, ADFECTIOSA -UM, ADFECTIOSIOR -OR -US, ADFECTIOSISSIMUS -A -UM: ADJ    1 1 X       \full of (kindly) feeling;
ADFECTIOSE: ADV    POS         \affectionately;
ADFECTIOSE, ADFECTIOSIUS, ADFECTIOSISSIME: ADV    X           \feelingly; with (kindly) feeling;
ADFECTRIX, ADFECTRICIS: N      3 1 F       \aspirant (female); she who seeks/strives for (a thing);
ADFECTUALIS, ADFECTUALIS, ADFECTUALE: ADJ    3 2 POS     \depending on a temporary condition;
ADFECTUOSUS, ADFECTUOSA, ADFECTUOSUM: ADJ    1 1 POS     \affectionate, kind, full of inclination/affection/love;
ADFECTUOSUS, ADFECTUOSA -UM, ADFECTUOSIOR -OR -US, ADFECTUOSISSIMUS -A -UM: ADJ    1 1 X       \full of (kindly) feeling;
ADFECTUOSE: ADV    POS         \affectionately, kindly;
ADFECTUOSE, ADFECTUOSIUS, ADFECTUOSISSIME: ADV    X           \feelingly; with (kindly) feeling;
ADFERO, ADFERRE, ADTULI, ADLATUS: V      3 2         \bring to, carry, convey; report, bring word, allege, announce; produce, cause;
ADFICIO, ADFICERE, ADFECI, ADFECTUS: V      3 1         \affect, make impression; move, influence; cause (hurt/death), afflict, weaken;
ADFICTICIUS, ADFICTICIA, ADFICTICIUM: ADJ    1 1 POS     \attached (to);
ADFIGO, ADFIGERE, ADFIXI, ADFIXUS: V      3 1         \fasten/fix/pin/attach to (w/DAT), annex; impress upon; pierce; chain, confine;
ADFIGURO, ADFIGURARE, ADFIGURAVI, ADFIGURATUS: V      1 1         \form (a word) by analogy;
ADFINIS, ADFINIS, ADFINE: ADJ    3 2 POS     \neighboring, adjacent, next, bordering; related (marriage), akin, connected;
ADFINGO, ADFINGERE, ADFINXI, ADFICTUS: V      3 1         \add to, attach; aggravate; embellish, counterfeit, forge; claim wrongly;
ADFINIS, ADFINIS: N      3 3 C       \relation (by marriage); neighbor; accomplice;
ADFINITAS, ADFINITATIS: N      3 1 F       \relation(ship) by marriage; relationship (man+wife), bond/union; neighborhood;
ADFIRMO, ADFIRMARE, ADFIRMAVI, ADFIRMATUS: V      1 1         \affirm/assert (dogmatically/positively); confirm, ratify, restore; emphasize;
ADFIRMANTER: ADV    POS         \certainly, assuredly, with assurance;
ADFIRMATE: ADV    POS         \with definite affirmation/solemn assertion, positively, certainly, assuredly;
ADFIRMATIO, ADFIRMATIONIS: N      3 1 F       \affirmation, strengthening of belief; assertion, dogmatic/positive statement;
ADFIRMATIVUS, ADFIRMATIVA, ADFIRMATIVUM: ADJ    1 1 POS     \affirming, affirmative;
ADFIRMATOR, ADFIRMATORIS: N      3 1 M       \one who makes a definite assertion/affirmation;
ADFIXUS, ADFIXA, ADFIXUM: ADJ    1 1 POS     \fastened/joined to (person/thing); impressed on, fixed to; situated close to;
ADFIXUM, ADFIXI: N      2 2 N       \fixtures (pl.) pertaining thereto;, permanent fittings/appendages/appurtenances;
ADFIXIO, ADFIXIONIS: N      3 1 F       \joining/fastening to; an addition to;
ADFLO, ADFLARE, ADFLAVI, ADFLATUS: V      1 1         \blow/breathe (on/towards); inspire, infuse; waft; graze; breathe poison on;
ADFLEO, ADFLERE, ADFLEVI, ADFLETUS: V      2 1         \weep/cry at; weep as an accompaniment;
ADFLAGRANS, ADFLAGRANTIS: N      3 3 F       \flaming/blazing up; turbulent, unquiet;
ADFLATUS, ADFLATUS: N      4 1 M       \breath, snorting; breeze, wind, draught, (hot) blast; stench; inspiration;
ADFLATOR, ADFLATORIS: N      3 1 M       \one who blows on/breathes into;
ADFLECTO, ADFLECTARE, ADFLECTAVI, ADFLECTATUS: V      1 1         \affect, move, influence (to a course of action);
ADFLICTUS, ADFLICTA, ADFLICTUM: ADJ    1 1 POS     \in a state of ruin (persons/countries/affairs), shattered;
ADFLICTUS, ADFLICTUS: N      4 1 M       \collision, blow; a striking against/dashing together;
ADFLICTO, ADFLICTARE, ADFLICTAVI, ADFLICTATUS: V      1 1         \shatter, damage, strike repeatedly, buffet, wreck; oppress, afflict; vex;
ADFLICTATIO, ADFLICTATIONIS: N      3 1 F       \grievous suffering, torment, affliction;
ADFLICTATOR, ADFLICTATORIS: N      3 1 M       \one who causes pain/suffering/torment/torture; tormenter;
ADFLICTIO, ADFLICTIONIS: N      3 1 F       \pain, suffering, torment;
ADFLICTOR, ADFLICTORIS: N      3 1 M       \one who strikes against/down/overthrows;
ADFLICTRIX, (GEN.), ADFLICTRICIS: ADJ    3 1 POS     \that strikes against/down/overthrows or collides with;
ADFLICTRIX, ADFLICTRICIS: N      3 1 M       \one (female) who strikes against/down/overthrows;
ADFLIGO, ADFLIGERE, ADFLIXI, ADFLICTUS: V      3 1         \overthrow/throw down; afflict, damage, crush, break, ruin; humble, weaken, vex;
ADFLUO, ADFLUERE, ADFLUXI, ADFLUXUS: V      3 1         \flow on/to/towards/by; glide/drift quietly; flock together, throng; abound;
ADFLUENS, ADFLUENTIS (GEN.), ADFLUENTIOR -OR -US, ADFLUENTISSIMUS -A -UM: ADJ    3 1 X       \flowing/overflowing/abounding with; abundant, plentiful, sumptuous, copious;
ADFLUENTE, ADFLUENTIUS, ADFLUENTISSIME: ADV    X           \richly, copiously, abundantly, extravagantly, opulently;
ADFLUENTER, ADFLUENTIUS, ADFLUENTISSIME: ADV    X           \abundantly, copiously; luxuriously, extravagantly;
ADFLUENTIA, ADFLUENTIAE: N      1 1 F       \flow (of a liquid); abundance, profusion, extravagance, opulence, riotousness;
ADFODIO, ADFODERE, -, -: V      3 1         \add by digging;
ADFORMIDO, ADFORMIDARE, ADFORMIDAVI, ADFORMIDATUS: V      1 1         \be afraid, fear;
ADFRANGO, ADFRANGERE, -, -: V      3 1         \cause to be broken against, crush/strike/break against; break in pieces;
ADFREMO, ADFREMERE, -, -: V      3 1         \roar/rage/growl (at); assent noisily to (w/DAT);
ADFRIO, ADFRIARE, ADFRIAVI, ADFRIATUS: V      1 1         \sprinkle (powder); crumble, grate;
ADFRICO, ADFRICARE, ADFRICUI, ADFRICATUS: V      1 1         \rub (one thing against another); apply by rubbing, smear on;
ADFRICO, ADFRICARE, ADFRICUI, ADFRICTUS: V      1 1         \rub (one thing against another); apply by rubbing, smear on;
ADFRICATIO, ADFRICATIONIS: N      3 1 F       \a rubbing on/against (a thing); friction; abrasion;
ADFRICTUS, ADFRICTUS: N      4 1 M       \friction; rubbing on;
ADFRINGO, ADFRINGERE, -, -: V      3 1         \cause to be broken against, crush/strike/break against; break in pieces;
ADFUO, ADFUERE, ADFUXI, -: V      3 1         \flow/stream/issue (from), flow away; abound in (w/ABL), be abundant, abound;
ADFULGEO, ADFULGERE, ADFULSI, -: V      2 1         \shine forth, appear, dawn; shine/smile upon (w/favor), appear favorable;
ADFUNDO, ADFUNDERE, ADFUDI, ADFUSUS: V      3 1         \pour on/upon/into, heap up; shed/spill (blood); wash;
ADFUNDOR, ADFUNDI, -, ADFUSUS SUM: V      3 1         \prostrate oneself; cause to be spread on/over; flow alongside/past (streams);
ADGAUDEO, ADGAUDERE, -, -: V      2 1         \delight in; be delighted with;
ADGEMO, ADGEMERE, -, -: V      3 1         \groan in conjunction/sympathy (with);
ADGENERO, ADGENERARE, ADGENERAVI, ADGENERATUS: V      1 1         \beget in addition;
ADGENICULOR, ADGENICULARI, -, ADGENICULATUS SUM: V      1 1         \kneel before, bend the knee before;
ADGER, ADGERIS: N      3 1 M       \rampart (or material for); causeway, pier; heap, pile, mound; dam; mud wall;
ADGERO, ADGERARE, ADGERAVI, ADGERATUS: V      1 1         \heap/fill up, bring, carry; increase, add fuel; push/crowd/press together;
ADGERO, ADGERERE, ADGESSI, ADGESTUS: V      3 1         \heap/cover up over, pile/build up, erect; accumulate; intensify, exaggerate;
ADGERATIM: ADV    POS         \in heaps/piles;
ADGERATIO, ADGERATIONIS: N      3 1 F       \heaped/piled up material;
ADGESTUS, ADGESTI: N      2 1 M       \mound, dike, elevation formed like a dike/mound;
ADGESTUM, ADGESTI: N      2 2 N       \mound, dike, elevation formed like a dike/mound;
ADGESTUS, ADGESTUS: N      4 1 M       \piling up; act of bringing; earthen bank, terrace; sprinkling earth over body;
ADGESTIM: ADV    POS         \in heaps, abundantly;
ADGESTIO, ADGESTIONIS: N      3 1 F       \heap, heaping up; mass (of mud), heap (of sand);
ADGLOMERO, ADGLOMERARE, ADGLOMERAVI, ADGLOMERATUS: V      1 1         \gather into a body, mass together, join forces; pile up in masses; agglomerate;
ADGLUTINO, ADGLUTINARE, ADGLUTINAVI, ADGLUTINATUS: V      1 1         \glue/stick/adhere/fasten to/together; fit/grip on closely; bring in contact;
ADGNASCOR, ADGNASCI, -, ADGNATUS SUM: V      3 1         \be born in addition/after father's will made; develop; grow later/on, arise;
ADGNATUS, ADGNATA, ADGNATUM: ADJ    1 1 POS     \related, cognate;
ADGNATA, ADGNATAE: N      1 1 F       \female blood relation on father's side;
ADGNATUS, ADGNATI: N      2 1 M       \male blood relation (father's side); one born after father made his will;
ADGNATUM, ADGNATI: N      2 2 N       \offshoot, side-shoot;
ADGNATICIUS, ADGNATICIA, ADGNATICIUM: ADJ    1 1 POS     \pertaining to agnati (born after will); (~ jus => right of agnati to inherit);
ADGNATIO, ADGNATIONIS: N      3 1 F       \birth after father's will; blood relationship through father/male ancestor;
ADGNITUS, ADGNITUS: N      4 1 M       \a "recognition" (drama);
ADGNITIO, ADGNITIONIS: N      3 1 F       \recognition, knowledge; perception of nature/identity; avowal, acknowledgement;
ADGNITOR, ADGNITORIS: N      3 1 M       \one who acknowledges or vouches for (a seal);
ADGNOMEN, ADGNOMINIS: N      3 2 N       \nickname, an additional name denoting an achievement/characteristic;
ADGNOMENTUM, ADGNOMENTI: N      2 2 N       \nickname, an additional name denoting an achievement/characteristic;
ADGNOSCO, ADGNOSCERE, ADGNOVI, ADGNITUS: V      3 1         \recognize, realize, discern; acknowledge, claim, admit to/responsibility;
ADGRAVO, ADGRAVARE, ADGRAVAVI, ADGRAVATUS: V      1 1         \aggravate, exaggerate; weigh down, oppress; make heavier; embarrass further;
ADGRAVESCO, ADGRAVESCERE, -, -: V      3 1         \become heavy; become severe/dangerous (illness), grow worse; be aggravated;
ADGREDIO, ADGREDERE, AGGRESSI, ADGRESSUS: V      3 1         \approach, advance; attack, assail; undertake, seize (opportunity), attempt;
ADGREDIOR, ADGREDI, -, ADGRESSUS SUM: V      3 1         \approach, advance; attack, assail; undertake, seize (opportunity), attempt;
ADGREGO, ADGREGARE, ADGREGAVI, ADGREGATUS: V      1 1         \collect, include, group, implicate; (cause to) flock/join together, attach;
ADGRESSUS, ADGRESSUS: N      4 1 M       \attack, assault;
ADGRESSIO, ADGRESSIONIS: N      3 1 F       \attack; action of setting about/undertaking (a task);
ADGRESSOR, ADGRESSORIS: N      3 1 M       \attacker, assailant;
ADGRESSURA, ADGRESSURAE: N      1 1 F       \attack, assault;
ADGUBERNO, ADGUBERNARE, ADGUBERNAVI, ADGUBERNATUS: V      1 1         \steer (one's course);
ADHAEREO, ADHAERERE, ASHAESI, ADHAESUS: V      2 1         \adhere, stick, cling/cleave to; hang on; be attached/concerned/involved;
ADHAERESCO, ADHAERESCERE, ADHAESI, -: V      3 1         \cling to, adhere, stick (in trouble); become lodged in (weapons); run aground;
ADHAESUS, ADHAESUS: N      4 1 M       \adhesion; act/fact of adhering/combining;
ADHAESE: ADV    POS         \stammeringly; in a tongued-tied manner;
ADHAESIO, ADHAESIONIS: N      3 1 F       \adhesion; linkage;
ADHAESIONA, ADHAESIONAE: N      1 1 F       \adhesion; linkage;
ADHAESIONA, ADHAESIONAE: N      1 1 F       \adhesion; linkage;
ADHALO, ADHALARE, ADHALAVI, ADHALATUS: V      1 1         \breathe upon;
ADHAMO, ADHAMARE, ADHAMAVI, ADHAMATUS: V      1 1         \catch, secure;
ADHEREO, ADHERERE, ADHESI, ADHESUS: V      2 1         \adhere, stick, cling/cleave to; hang on; be attached/concerned/involved;
ADHERSCO, ADHERESCERE, I, US: V      3 1         \adhere tightly, stick fast;
ADHIBEO, ADHIBERE, ADHIBUI, ADHIBITUS: V      2 1         \summon, invite, bring in; consult; put, add; use, employ, apply; hold out to;
ADHIBITIO, ADHIBITIONIS: N      3 1 F       \application, employing; admission (e.g., to a banquet);
ADHINNIO, ADHINNIRE, ADHINNIVI, ADHINNITUS: V      3 4         \whinny to/at; express delight; strive after/long for with voluptuous desire;
ADHOC: ADV    POS         \thus far, till now, to this point; hitherto; yet, as yet; still; besides;
ADHORREO, ADHORRERE, ADHORRUI, -: V      2 1         \shudder (in addition);
ADHORTOR, ADHORTARI, -, ADHORTATUS SUM: V      1 1         \encourage, urge on; rally; exhort;
ADHORTAMEN, ADHORTAMINIS: N      3 2 N       \encouragement, exhortation; incentive;
ADHORTATUS, ADHORTATUS: N      4 1 M       \(act of) urging; encouragement, exhortation, persuasion;
ADHORTATIO, ADHORTATIONIS: N      3 1 F       \exhortation, (words of) encouragement; persuasive speech/discourse/appeal;
ADHORTATIVUS, ADHORTATIVA, ADHORTATIVUM: ADJ    1 1 POS     \belonging to encouragement/exhortation; (~ modus => encouraging mood);
ADHORTATOR, ADHORTATORIS: N      3 1 M       \encourager, one who encourages/exhorts;
ADHOSPITO, ADHOSPITARE, ADHOSPITAVI, ADHOSPITATUS: V      1 1         \entertain as guest; propitiate;
ADHUC: ADV    POS         \thus far, till now, to this point; hitherto; yet, as yet; still; besides;
ADHUCINE: ADV    POS         \still? yet? (interog.) (adhuc ne);
ADIANTUM, ADIANTI: N      2 2 N       \maidenhair, type of fern;
ADIAPHOROS, ADIAPHOROS, -: ADJ    2 6 POS     \indifferent;
-, -, ADISPHORON: ADJ    2 8 POS     \indifferent;
ADIBILIS, ADIBILIS, ADIBILE: ADJ    3 2 POS     \accessible;
ADICIO, ADICERE, ADJECI, ADJECTUS: V      3 1         \add, increase, raise; add to (DAT/ad+ACC); suggest; hurl (weapon); throw to/at;
ADIGO, ADIGERE, ADEGI, ADACTUS: V      3 1         \drive in/to (cattle), force, impel; cast, hurl; consign (curse); bind (oath);
ADIMO, ADIMERE, ADEMI, ADEMPTUS: V      3 1         \withdraw, take away, carry off; castrate; deprive, steal, seize; annul; rescue;
ADIMPLEO, ADIMPLERE, ADIMPLEVI, ADIMPLETUS: V      2 1         \fill up (with); fulfill, carry out (promise/obligation);
ADIMPLETIO, ADIMPLETIONIS: N      3 1 F       \completion, completing, fulfillment, fulfilling;
ADIMPLETOR, ADIMPLETORIS: N      3 1 M       \inspirer, he who fills (by inspiration);
ADINCRESCO, ADINCRESCERE, -, -: V      3 1         \increase;
ADINDO, ADINDERE, -, -: V      3 1         \insert, put in/to; put in besides;
ADINFLO, ADINFLARE, ADINFLAVI, ADINFLATUS: V      1 1         \swell up;
ADINGERO, ADINGERERE, ADINGESSI, ADINGESTUS: V      3 1         \bring to/heap on in addition;
ADINQUIRO, ADINQUIRERE, ADINQUISI, ADINQUISITUS: V      3 1         \investigate/inquire/look into further;
ADINSPECTO, ADINSPECTARE, ADINSPECTAVI, ADINSPECTATUS: V      1 1         \watch; guard (a person);
ADINSTAR, UNDECLINED: ADJ    9 9 POS     \like, after the fashion of; according to the likeness of; about; (ad instar);
ADINVENIO, ADINVENIRE, ADINVENI, ADINVENTUS: V      3 4         \devise/invent/find out (in addition/intensive);
ADINVENTUM, ADINVENTI: N      2 2 N       \invention;
ADINVENTIO, ADINVENTIONIS: N      3 1 F       \invention;
ADINVENTOR, ADINVENTORIS: N      3 1 M       \inventor;
ADINVICEM: ADV    POS         \in turn, by turns, on after the other, alternately; mutually, reciprocally;
ADIPATUS, ADIPATA, ADIPATUM: ADJ    1 1 POS     \rich; containing fat, fatty, greasy; coarse, gross (L+S);
ADIPATUM, ADIPATI: N      2 2 N       \rich dish; pastry prepared with fat (L+S);
ADIPEUS, ADIPEA, ADIPEUM: ADJ    1 1 POS     \of fat;
ADIPISCOR, ADIPISCI, -, ADEPTUS SUM: V      3 1         \gain, secure, win, obtain;  arrive at, come up to/into; inherit; overtake;
ADIPS, ADIPIS: N      3 1 C       \fat, lard, grease; fatty tissue; bombast; corpulence, obesity (pl.);
ADIPSOS, ADIPSI: N      2 6 F       \kind of Egyptian date; licorice (?);
ADIPSON, ADIPSI: N      2 8 N       \licorice;
ADIPSATHEOS, ADIPSATHEI: N      2 6 M       \thorny shrub which produces a fragrant oil;
ADIPSATHEON, ADIPSATHEI: N      2 8 N       \thorny shrub which produces a fragrant oil;
ADITUS, ADITUS: N      4 1 M       \approach, access; attack; entrance; chance, opportunity, means, way; beginning;
ADITO, ADITARE, ADITAVI, ADITATUS: V      1 1         \approach often/frequently/habitually;
ADITIALIS, ADITIALIS, ADITIALE: ADJ    3 2 POS     \inaugural; (of a banquet) given by a magistrate upon entering office;
ADITIO, ADITIONIS: N      3 1 F       \act/right of approaching (a person); taking possession of an inheritance;
ADIUMENTUM, ADIUMENTI: N      2 2 N       \help, assistance, support, means of aid;
ADJACEO, ADJACERE, ADJACUI, ADJACITUS: V      2 1         \lie near to, lie beside; be adjacent/contiguous to, neighbor on; live near;
ADJACENS, (GEN.), ADJACENTIS: ADJ    3 1 POS     \adjacent, neighboring;
ADJACENS, ADJACENTIS: N      3 4 N       \adjacent/neighboring areas/regions/parts (pl.): adjoining country;
ADJACULATUS, ADJACULATA, ADJACULATUM: ADJ    1 1 POS     \thrown/cast at;
ADJECTUS, ADJECTUS: N      4 1 M       \insertion/putting in/adding/applying to, addition; impact, contact;
ADJECTAMENTUM, ADJECTAMENTI: N      2 2 N       \appendage, appurtenance, attachment; addition, increase;
ADJECTIUS, ADJECTIA, ADJECTIUM: ADJ    1 1 POS     \added besides;
ADJECTICIUS, ADJECTICIA, ADJECTICIUM: ADJ    1 1 POS     \added besides;
ADJECTIO, ADJECTIONIS: N      3 1 F       \addition; act of adding, infliction in addition; repetition; price increase;
ADJECTIVUS, ADJECTIVA, ADJECTIVUM: ADJ    1 1 POS     \that is added (to the noun - gram.); adjective;
ADJICIO, ADJICERE, ADJECI, ADJECTUS: V      3 1         \add, increase, raise; add to (DAT/ad+ACC); suggest; hurl (weapon); throw to/at;
ADJICIO, ADJICERE, -, -: V      3 1         \add, increase, raise; add to (DAT/ad+ACC); suggest; hurl (weapon); throw to/at;
ADJUDICO, ADJUDICARE, ADJUDICAVI, ADJUDICATUS: V      1 1         \adjudge, impute, attribute, ascribe (to); award (as a judge), assign (to);
ADJUDICATIO, ADJUDICATIONIS: N      3 1 F       \act of assignment (by a judge); vesting order; judicial judging of a matter;
ADJUGO, ADJUGARE, ADJUGAVI, ADJUGATUS: V      1 1         \join, attach (to);
ADJUNCTUM, ADJUNCTI: N      2 2 N       \quality, characteristic, essential feature/attribute; collateral circumstance;
ADJUNCTUS, ADJUNCTA -UM, ADJUNCTIOR -OR -US, ADJUNCTISSIMUS -A -UM: ADJ    1 1 X       \bound/belonging to; composite, joined in compound (word); adjacent; relevant;
ADJUNCTIO, ADJUNCTIONIS: N      3 1 F       \union, association; admixture, combination; (limiting) addition, qualification;
ADJUNCTIVUS, ADJUNCTIVA, ADJUNCTIVUM: ADJ    1 1 POS     \adjectival; that is joined/added; conjunctions that govern subjunctive mood L+S;
ADJUNCTOR, ADJUNCTORIS: N      3 1 M       \one who adds/joins/unites; proposer (that ... be added to ...);
ADJUNGO, ADJUNGERE, ADJUNXI, ADJUNCTUS: V      3 1         \add, attach, join to, add to, support; apply to; harness, yoke; direct; confer;
ADJURO, ADJURARE, ADJURAVI, ADJURATUS: V      1 1         \swear by/solemnly; affirm with oath; charge/entreat/urge (as under oath/curse);
ADJURAMENTUM, ADJURAMENTI: N      2 2 N       \conjuring, entreaty;
ADJURATIO, ADJURATIONIS: N      3 1 F       \act of appealing to/by adjuration; swearing to/by (something);
ADJURATOR, ADJURATORIS: N      3 1 M       \one who conjures, conjurer;
ADJURATORIUS, ADJURATORIA, ADJURATORIUM: ADJ    1 1 POS     \pertaining to swearing;
ADJUTUS, ADJUTUS: N      4 1 M       \help, aid;
ADJUTO, ADJUTARE, ADJUTAVI, ADJUTATUS: V      1 1         \help (with a burden/activity; help realize a program/purpose;
ADJUTOR, ADJUTARI, -, ADJUTATUS SUM: V      1 1         \help (with a burden/activity; help realize a program/purpose;
ADJUTABILIS, ADJUTABILIS, ADJUTABILE: ADJ    3 2 POS     \helpful;
ADJUTOR, ADJUTORIS: N      3 1 M       \assistant, deputy; accomplice; supporter; secretary; assistant schoolmaster;
ADJUTORIUM, ADJUTORI(I): N      2 4 N       \help, assistance, support; argumentation;
ADJUTRIX, ADJUTRICIS: N      3 1 F       \female assistant/helper/accomplice; feminine nouns; as title of a legion;
ADJUVO, ADJUVARE, ADJUVI, ADJUTUS: V      1 1         \help, aid, abet, encourage, favor; cherish, sustain; be of use, be profitable;
ADJUVO, ADJUVARE, ADJUVAVI, ADJUVATUS: V      1 1         \help, aid, abet, encourage, favor; cherish, sustain; be of use, be profitable;
ADJUVANS, (GEN.), ADJUVANTIS: ADJ    3 1 POS     \contributory (cause);
ADJUVATORIUM, ADJUVATORI(I): N      2 4 N       \assistance, cooperation;
ADLABOR, ADLABI, -, ADLAPSUS SUM: V      3 1         \glide/move/flow towards (w/DAT/ACC); creep up; steal into; fly (missiles);
ADLABORO, ADLABORARE, ADLABORAVI, ADLABORATUS: V      1 1         \make a special effort; take trouble to;
ADLACRIMO, ADLACRIMARE, -, -: V      1 1         \shed tears, cry, weep (at or as an accompaniment to something);
ADLAMBO, ADLAMBERE, -, -: V      3 1         \lick (of flames);
ADLAPSUS, ADLAPSUS: N      4 1 M       \gliding up; gliding/stealthy approach; flowing towards or near;
ADLATRO, ADLATRARE, ADLATRAVI, ADLATRATUS: V      1 1         \bark at; rail at; rage, roar (sea);
ADLAUDO, ADLAUDARE, ADLAUDAVI, ADLAUDATUS: V      1 1         \praise, commend;
ADLAUDABILIS, ADLAUDABILIS, ADLAUDABILE: ADJ    3 2 POS     \praiseworthy, commendable;
ADLAVO, ADLAVARE, ADLAVAVI, ADLAVATUS: V      1 1         \flow up to (water), wash;
ADLECTO, ADLECTARE, ADLECTAVI, ADLECTATUS: V      1 1         \entice, allure, encourage, invite;
ADLECTATIO, ADLECTATIONIS: N      3 1 F       \coaxing, enticing, encouragement, invitation;
ADLECTATOR, ADLECTATORIS: N      3 1 M       \one who coaxes/entices/attracts/invites/encourages;
ADLECTOR, ADLECTORIS: N      3 1 M       \official of a collegium (concerned with dues or admission);
ADLECTURA, ADLECTURAE: N      1 1 F       \office of collector of revenues (colligium allector);
ADLEGO, ADLEGERE, ADLEGI, ADLECTUS: V      3 1         \choose, admit, elect, recruit, select, appoint;
ADLEGO, ADLEGARE, ADLEGAVI, ADLEGATUS: V      1 1         \depute/send as agent, commission, put up; suborn; urge/plea, lay before; allege;
ADLEGATUS, ADLEGATUS: N      4 1 M       \instigation, prompting;
ADLEGATIO, ADLEGATIONIS: N      3 1 F       \allegation, charge; intercession; representation made on behalf of another;
ADLENIMENTUM, ADLENIMENTI: N      2 2 N       \soothing remedy/relief;
ADLEVO, ADLEVARE, ADLEVAVI, ADLEVATUS: V      1 1         \lift/heap/pile up, raise, exalt; alleviate, diminish, weaken; comfort, console;
ADLEVO, ADLEVARE, ADLEVAVI, ADLEVATUS: V      1 1         \|smooth, smooth off, make smooth; polish; depilate;
ADLEVAMENTUM, ADLEVAMENTI: N      2 2 N       \mitigation; relief, alleviation;
ADLEVATIO, ADLEVATIONIS: N      3 1 F       \alleviation, easing; relief; lifting up, raising;
ADLEVATOR, ADLEVATORIS: N      3 1 M       \one who lifts/raises up;
ADLEVIO, ADLEVIARE, ADLEVIAVI, ADLEVIATUS: V      1 1         \lighten, make light; deal lightly/leniently with; raise up, relieve;
ADLIBENTIA, ADLIBENTIAE: N      1 1 F       \inclination (for);
ADLIBESCO, ADLIBESCERE, -, -: V      3 1         \be pleasing, gratify; be roused with desire (for);
ADLICEFACIO, ADLICEFACERE, ADLICEFECI, ADLICEFACTUS: V      3 1         \entice, allure;
ADLICIO, ADLICIERE, ADLEXI, ADLECTUS: V      3 1         \draw gently to, entice, lure, induce (sleep), attract, win over, encourage;
ADLIDO, ADLIDERE, ADLISI, ADLISUS: V      3 1         \dash against; crush against, bruise; ruin; shipwreck;
ADLIGO, ADLIGARE, ADLIGAVI, ADLIGATUS: V      1 1         \bind/fetter (to); bandage; hinder, impede, detain; accuse; implicate/involve in;
ADLIGAMENTUM, ADLIGAMENTI: N      2 2 N       \band, binding, tie;
ADLIGATIO, ADLIGATIONIS: N      3 1 F       \tying or binding to supports; a bond; band;
ADLIGATOR, ADLIGATORIS: N      3 1 M       \one who ties or binds to a support;
ADLIGATURA, ADLIGATURAE: N      1 1 F       \band, binding;
ADLINO, ADLINERE, ADLINEVI, ADLINITUS: V      3 1         \smear/spread/dash over (W/DAT); spread out on; adhere to;
ADLISIO, ADLISIONIS: N      3 1 F       \dashing against; striking upon;
ADLOCUTIO, ADLOCUTIONIS: N      3 1 F       \address (spoken/written), manner of address; consolation; harangue, exhortation;
ADLOQUOR, ADLOQUI, -, ADLOCUTUS SUM: V      3 1         \speak to (friendly); address, harangue, make a speech (to); call on; console;
ADLOQUIUM, ADLOQUI(I): N      2 4 N       \address, addressing, talk; talking to, encouragement, friendly/reassuring words;
ADLUO, ADLUERE, ADLUI, -: V      3 1         \wash/flow past/near/against, lap; beset; bathe (person) (tears); deposit silt;
ADLUBENTIA, ADLUBENTIAE: N      1 1 F       \inclination (for);
ADLUBESCO, ADLUBESCERE, -, -: V      3 1         \be pleasing, gratify; be roused with desire (for);
ADLUCEO, ADLUCERE, ADLUXI, -: V      2 1         \shine upon; light (a torch); show/give (opportunity/chance); give/supply light;
ADLUCTOR, ADLUCTARI, -, ADLUCTATUS SUM: V      1 1         \wrestle; wrestle with (w/DAT);
ADLUDO, ADLUDERE, ADLUSI, ADLUSUS: V      3 1         \frolic/play/sport around/with, play against; jest, make mocking allusion to;
