--  This is WORDS 1.97 dictionary - The order is not exactly alphabetic
A: INTERJ             \Ah!; (distress/regret/pity, appeal/entreaty, surprise/joy, objection/contempt);
EXCUDO, EXCUDERE, EXCUDI, EXCUSUS: V      3 1         \strike out; forge; fashion; print (Erasmus);
EXCULCO, EXCULCARE, EXCULCAVI, EXCULCATUS: V      1 1         \trample down;
EXCURATUS, EXCURATA, EXCURATUM: ADJ    1 1 POS     \carefully seen to;
EXCURRO, EXCURRERE, EXCUCURRI, EXCURSUS: V      3 1         \run out; make an excursion; sally; extend: project;
EXCURRO, EXCURRERE, EXCURRI, EXCURSUS: V      3 1         \run out; make an excursion; sally; extend: project;
EXCURSUS, EXCURSUS: N      4 1 M       \running forth, onset, charge, excursion, sally, sudden raid;
EXCURSATIO, EXCURSATIONIS: N      3 1 F       \sally; onset; attack, charge (Sax); incursion;
EXCURSIO, EXCURSIONIS: N      3 1 F       \running forth; sally;
EXCUSO, EXCUSARE, EXCUSAVI, EXCUSATUS: V      1 1         \excuse, make excuse for, plead as an excuse; absolve;
EXCUSABILIS, EXCUSABILIS, EXCUSABILE: ADJ    3 2 POS     \excusable;
EXCUSAMENTUM, EXCUSAMENTI: N      2 2 N       \excuse;
EXCUSATIO, EXCUSATIONIS: N      3 1 F       \excuse;
EXCUTIO, EXCUTERE, EXCUSSI, EXCUSSUS: V      3 1         \shake out or off; cast out; search, examine;
EXEO, EXIRE, EXIVI(II), EXITUS: V      6 1         \come/go out; sail/march/move out/away; go abroad; pass (away), expire; escape;
EXEO, EXIRE, EXIVI(II), EXITUS: V      6 1         \go/march out/forth, go forth; leave, escape; perish, die;
EXEO, EXIRE, EXIVI(II), EXITUS: V      6 1         \|discharge (fluid); rise (river/star);  become visible; issue, emerge; sprout;
EXECO, EXECARE, EXECUI, EXECTUS: V      1 1         \cut out or away; castrate;
EXECROR, EXECRARI, -, EXECRATUS SUM: V      1 1         \curse; detest;
EXECRAMENTUM, EXECRAMENTI: N      2 2 N       \accursed thing; increase, excess (Latham); excrement; (~ auri -> gold fillings);
EXECRATIO, EXECRATIONIS: N      3 1 F       \imprecation, curse;
EXECUTO, EXECUTERE, EXECUI, EXECUTUS: V      3 1         \follow, go after/along; strive after; go on with/persist in; attain/arrive at;
EXECUTO, EXECUTERE, EXECUI, EXECUTUS: V      3 1         \|execute, carry out (duty); go through, rehearse; persue; develop (topic);
EXECUTIO, EXECUTIONIS: N      3 1 F       \performance, carrying out; enforcement (law), act to right wrong; discussion;
EXEDO, EXEDERE, EXEDI, EXESUS: V      3 1         \eat up, consume; hollow;
EXEDO, EXESSE, -, -: V      7 3         \eat up, consume; hollow;
EXEDRA, EXEDRAE: N      1 1 F       \hall for conversation or debate;
EXEMPLUM, EXEMPLI: N      2 2 N       \sample, specimen, representative; precedent, case; pattern, model; warning;
EXEMPLO, EXEMPLARE, EXEMPLAVI, EXEMPLATUS: V      1 1         \adduce/serve as example/model/pattern; form after a pattern;
EXEMPLAR, EXEMPLARIS: N      3 4 N       \model, pattern, example, original, ideal; copy;
EXEMPLARE, EXAMPLARIS: N      3 4 N       \model, pattern, example, original, ideal; copy;
EXEMPLARITAS, EXEMPLARITATIS: N      3 1 F       \archetypical quality; mmodel, exemplar;
EXENTERO, EXENTERARE, EXENTERAVI, EXENTERATUS: V      1 1         \disembowel;
EXEQUOR, EXEQUI, -, EXECTUS SUM: V      3 1         \follow (to the grave); pursue; pursue with vengeance/punishment; accomplish;
EXEQUIA, EXEQUIAE: N      1 1 F       \funeral procession (pl.);
EXERO, EXERERE, EXERUI, EXERTUS: V      3 1         \stretch forth; thrust out (of land); put out (plants); lay bare, uncover (body;
EXERCEO, EXERCERE, EXERCUI, EXERCITUS: V      2 1         \exercise, train, drill, practice; enforce, administer; cultivate;
EXERCITUS, EXERCITUS: N      4 1 M       \army, infantry; swarm, flock;
EXERCITO, EXERCITARE, EXERCITAVI, EXERCITATUS: V      1 1         \practice, exercise, train hard, keep at work;
EXERCITATUS, EXERCITATA, EXERCITATUM: ADJ    1 1 POS     \trained, practiced, skilled; disciplined; troubled;
EXERCITATIO, EXERCITATIONIS: N      3 1 F       \exercise, training, practice; discipline;
EXERCITIUM, EXERCITI(I): N      2 4 N       \exercise; training;
EXERRO, EXERRARE, EXERRAVI, EXERRATUS: V      1 1         \wnader off (from one's course);
EXFUGIO, EXFUGERE, EXFUGI, EXFUGITUS: V      3 1         \flee/excape; run/slip/keep away (from), eschew/avoid; baffle, escape notice;
EXHALO, EXHALARE, EXHALAVI, EXHALATUS: V      1 1         \breathe out; evaporate; die;
EXHAURIO, EXHAURIRE, EXHAUSI, EXHAUSTUS: V      3 4         \draw out; drain, drink up, empty; exhaust, impoverish; remove; end;
EXHEREDO, EXHEREDARE, EXHEREDAVI, EXHEREDATUS: V      1 1         \to disinherit;
EXHERES, (GEN.), EXHEREDIS: ADJ    3 1 POS     \disinherited;
EXHIBEO, EXHIBERE, EXHIBUI, EXHIBITUS: V      2 1         \present; furnish; exhibit; produce;
EXHONORO, EXHONORARE, EXHONORAVI, EXHONORATUS: V      1 1         \dishonor; despise;
EXHORRESCO, EXHORRESCERE, EXHORRUI, -: V      3 1         \shudder; be terrified, tremble at;
EXHORTO, EXHORTARE, EXHORTAVI, EXHORTATUS: V      1 1         \encourage;
EXHORTOR, EXHORTARI, -, EXHORTATUS SUM: V      1 1         \exhort, encourage, incite;
EXHORTATIO, EXHORTATIONIS: N      3 1 F       \exhortation, action of admonishing/encouraging; inducement;
EXHORTATIVUS, EXHORTATIVA, EXHORTATIVUM: ADJ    1 1 POS     \of exhortation;
EXICCO, EXICCARE, EXICCAVI, EXICCATUS: V      1 1         \dry up; empty (a vessel);
EXIDE: ADV    POS         \from then on;
EXIGO, EXIGERE, EXEGI, EXACTUS: V      3 1         \drive out, expel; finish; examine, weigh;
EXIGUUS, EXIGUA, EXIGUUM: ADJ    1 1 POS     \small; meager; dreary; a little, a bit of; scanty, petty, short, poor;
EXIGUITAS, EXIGUITATIS: N      3 1 F       \smallness, paucity; shortness; scarcity;
EXILIS, EXILE, EXILIOR -OR -US, EXILISSIMUS -A -UM: ADJ    3 2 X       \small, thin; poor;
EXILIO, EXILIRE, EXILIVI, -: V      3 4         \spring/leap/burst forth/out, leap up, start up, bound; emerge into existance;
EXILIO, EXILIRE, EXILUI, -: V      3 4         \spring/leap/burst forth/out, leap up, start up, bound; emerge into existance;
EXILIUM, EXILI(I): N      2 4 N       \exile, banishment; place of exile/retreat (L+S); exiles (pl.), those exiled;
EXIM: ADV    POS         \thence; after that, next in order, thereafter, then; furthermore; by that cause;
EXIMO, EXIMERE, EXEMI, EXEMPTUS: V      3 1         \remove/extract, take/lift out/off/away; banish, get rid of; free/save/release;
EXIMIUS, EXIMIA, EXIMIUM: ADJ    1 1 POS     \select; excellent; extraordinary;
EXIN: ADV    POS         \thence; after that, next in order, thereafter, then; furthermore; by that cause;
EXINDE: ADV    POS         \thence; after that, next in order, thereafter, then; furthermore; by that cause;
EXISTO, EXISTERE, EXISTITI, EXISTITUS: V      3 1         \step forth, appear; arise; become; prove to be; be (Bee);
EXISTIMO, EXISTIMARE, EXISTIMAVI, EXISTIMATUS: V      1 1         \value; think, suppose; estimate; judge;
EXISTIMATIO, EXISTIMATIONIS: N      3 1 F       \opinion; reputation; judgement; credit;
EXITUS, EXITUS: N      4 1 M       \exit, departure; end, solution; death; outlet, mouth (of river);
EXITIUM, EXITI(I): N      2 4 N       \destruction, ruin; death; mischief;
EXITIABILIS, EXITIABILIS, EXITIABILE: ADJ    3 2 POS     \destructive, deadly;
EXITIALIS, EXITIALIS, EXITIALE: ADJ    3 2 POS     \destructive, deadly;
EXITIOSUS, EXITIOSA, EXITIOSUM: ADJ    1 1 POS     \destructive, pernicious, deadly;
EXLEX, (GEN.), EXLEGIS: ADJ    3 1 POS     \bound by no law, lawless, reckless;
EXOCULO, EXOCULARE, EXOCULAVI, EXOCULATUS: V      1 1         \blind, put out/deprive of eyes/sight;
EXOLESCO, EXOLESCERE, EXOLEVI, EXOLETUS: V      3 1         \grow up, become adult; grow stale, deteriorate; die out/fade away; be forgotten;
EXOLETUS, EXOLETI: N      2 1 M       \male prostitute;
EXOLVO, EXOLVERE, EXOLVI, EXOLUS: V      3 1         \set free; pay; throw off; release; perform;
EXONERO, EXONERARE, EXONERAVI, EXONERATUS: V      1 1         \unload, disburden, discharge;
EXOPTO, EXOPTARE, EXOPTAVI, EXOPTATUS: V      1 1         \long for;
EXORO, EXORARE, EXORAVI, EXORATUS: V      1 1         \persuade, obtain/win over by entreaty, pervail upon; beg, plead, entreat;
EXORABILIS, EXORABILIS, EXORABILE: ADJ    3 2 POS     \capable of being moved by entreaty;
EXORCISTA, EXORCISTAE: N      1 1 M       \exorcist; cleric of minor orders (second level from top/deacon);
EXORCISTUS, EXORCISTI: N      2 1 M       \exorcist; cleric of minor orders (second level from top/deacon);
EXORDIOR, EXORDIRI, -, EXORSUS SUM: V      3 4         \begin, commence;
EXORDIUM, EXORDI(I): N      2 4 N       \beginning; introduction, preface;
EXORIOR, EXORIRI, -, EXORTUS SUM: V      3 4         \come out, come forth; bring; appear; rise, begin, spring up; cheer up;
EXORNO, EXORNARE, EXORNAVI, EXORNATUS: V      1 1         \furnish with, adorn, embellish;
EXORS, (GEN.), EXORTIS: ADJ    3 1 POS     \without share in; exempt from lottery;
EXOSUS, EXOSA, EXOSUM: ADJ    1 1 POS     \hating;
EXOS, (GEN.), EXOSIS: ADJ    3 1 POS     \boneless, without bones;
EXOSCULOR, EXOSCULARI, -, EXOSCULATUS SUM: V      1 1         \kiss fondly; express fondness for; admire greatly;
EXOSSO, EXOSSARE, EXOSSAVI, EXOSSATUS: V      1 1         \bone/debone, take out the bones, filet;
EXOSTRA, EXOSTRAE: N      1 1 F       \theatrical machine (revealing the inside of a house to the spectators);
EXOTICUS, EXOTICA, EXOTICUM: ADJ    1 1 POS     \foreign, outlandish, exotic;
EXPALLESCO, EXPALLESCERE, EXPALLUI, -: V      3 1         \turn pale, turn very pale; go white as a ghost;
EXPALLIDUS, EXPALLIDA, EXPALLIDUM: ADJ    1 1 POS     \very/exceedingly pale/wan;
EXPALPO, EXPALPARE, EXPALPAVI, EXPALPATUS: V      1 1         \to coax out;
EXPANDO, EXPANDERE, EXPANDI, EXPANSUS: V      3 1         \spread out, expand; expound;
EXPANDO, EXPANDERE, EXPANDI, EXPASSUS: V      3 1         \spread out, expand; expound;
EXPATIOR, EXPATIARI, -, EXPATIATUS SUM: V      1 1         \wander from the course; spread out;
EXPAVESCO, EXPAVESCERE, EXPAVI, -: V      3 1         \become frightened;
EXPECTO, EXPECTARE, EXPECTAVI, EXPECTATUS: V      1 1         \await, expect; anticipate; hope for;
EXPECTATIO, EXPECTATIONIS: N      3 1 F       \expectation; suspense;
EXPEDIO, EXPEDIRE, EXPEDIVI, EXPEDITUS: V      3 4         \disengage, loose, set free; be expedient; procure, obtain, make ready;
EXPEDIUS, EXPEDIA, EXPEDIUM: ADJ    1 1 POS     \free, easy; ready; ready for action; without baggage; unencumbered;
EXPEDITUS, EXPEDITA, EXPEDITUM: ADJ    1 1 POS     \unencumbered; without baggage; light armed;
EXPEDITUS, EXPEDITI: N      2 1 M       \light armed soldier;
EXPEDITIO, EXPEDITIONIS: N      3 1 F       \expedition, campaign; rapid march; account; proof by elimination;
EXPELLO, EXPELLERE, EXPULI, EXPULSUS: V      3 1         \drive out, expel, banish; disown, reject;
EXPENDO, EXPENDERE, EXPENDI, EXPENSUS: V      3 1         \pay; pay out; weigh, judge; pay a penalty;
EXPENSUS, EXPENSA, EXPENSUM: ADJ    1 1 POS     \paid out (money); entered into one's account as paid;
EXPENSA, EXPENSAE: N      1 1 F       \expenditure, money paid out; (assume pecunia); expenses (Bee);
EXPENSUM, EXPENSI: N      2 2 N       \expenditure, money paid out; expenses (Bee);
EXPERGEFACIO, EXPERGEFACERE, EXPERGEFECI, EXPERGEFACTUS: V      3 1         \arouse, awake;
EXPERGISCOR, EXPERGISCI, -, EXPERRECTUS SUM: V      3 1         \awake; bestir oneself;
EXPERIOR, EXPERIRI, -, EXPERTUS SUM: V      3 4         \test, put to the test; find out; attempt, try; prove, experience;
EXPERIENS, (GEN.), EXPERIENTIS: ADJ    3 1 POS     \active, enterprising (w/GEN);
EXPERIENTIA, EXPERIENTIAE: N      1 1 F       \trial, experiment; experience;
EXPERIMENTUM, EXPERIMENTI: N      2 2 N       \trial, experiment, experience;
EXPERS, (GEN.), EXPERTIS: ADJ    3 1 POS     \free from (w/GEN); without; lacking experience; immune from;
EXPERTUS, EXPERTA, EXPERTUM: ADJ    1 1 POS     \well-proved, tested;
EXPES, (GEN.), -: ADJ    3 1 POS     \hopeless (only NOM S); without hope;
EXPETO, EXPETERE, EXPETI, EXPETITUS: V      3 1         \ask for; desire; aspire to; demand; happen; fall on (a person);
EXPETO, EXPETERE, EXPETIVI, EXPETITUS: V      3 1         \ask for; desire; aspire to; demand; happen; fall on (a person);
EXPETESSO, EXPETESSERE, -, -: V      3 1         \to desire, wish for;
EXPIO, EXPIARE, EXPIAVI, EXPIATUS: V      1 1         \expiate, atone for; avert by expiatory rites;
EXPIATIO, EXPIATIONIS: N      3 1 F       \atonement, expiation, purification;
EXPILO, EXPILARE, EXPILAVI, EXPILATUS: V      1 1         \plunder, rob, despoil;
EXPIRO, EXPIRARE, EXPIRAVI, EXPIRATUS: V      1 1         \breathe out; exhale; expire; die; cease;
EXPISCOR, EXPISCARI, -, EXPISCATUS SUM: V      1 1         \angle/fish for (information); search/fish/find out; inquire; (slang?);
EXPLEO, EXPLERE, EXPLEVI, EXPLETUS: V      2 1         \fill out; fill, fill up, complete, finish; satisfy, satiate;
EXPLANO, EXPLANARE, EXPLANAVI, EXPLANATUS: V      1 1         \explain;
EXPLEMENTUM, EXPLEMENTI: N      2 2 N       \filling, stuffing;
EXPLETIO, EXPLETIONIS: N      3 1 F       \fulfilment; process of perfecting; completion; satisfaction; obedience (to);
EXPLICO, EXPLICARE, EXPLICAVI, EXPLICATUS: V      1 1         \unfold, extend; set forth, display, exhibit, explain, disentangle;
EXPLICO, EXPLICARE, EXPLICUI, EXPLICITUS: V      1 1         \unfold, extend; set forth, explain;
EXPLODO, EXPLODERE, EXPLOSI, EXPLOSUS: V      3 1         \drive (an actor) off the stage (by clapping); scare off; reject;
EXPLORO, EXPLORARE, EXPLORAVI, EXPLORATUS: V      1 1         \search out, explore; test, try out; reconnoiter, investigate;
EXPLORATOR, EXPLORATORIS: N      3 1 M       \spy, scout;
EXPOLIO, EXPOLIRE, EXPOLIVI, EXPOLITUS: V      3 4         \polish; refine;
EXPOLIO, EXPOLIARE, EXPOLIAVI, EXPOLIATUS: V      1 1         \plunder;
EXPONO, EXPONERE, EXPOSUI, EXPOSITUS: V      3 1         \set/put forth/out; abandon, expose; publish; explain, relate; disembark;
EXPORTO, EXPORTARE, EXPORTAVI, EXPORTATUS: V      1 1         \export, carry out;
EXPOSCO, EXPOSCERE, EXPOPOSCI, -: V      3 1         \request, ask for, demand; demand the surrender of;
EXPOSITIO, EXPOSITIONIS: N      3 1 F       \statement, description, explanation; narration; exposing (of a child);
EXPOSTULO, EXPOSTULARE, EXPOSTULAVI, EXPOSTULATUS: V      1 1         \demand, call for, remonstrate, complain about;
EXPOSTULATIO, EXPOSTULATIONIS: N      3 1 F       \complaint, protest;
EXPRIMO, EXPRIMERE, EXPRESSI, EXPRESSUS: V      3 1         \squeeze, squeeze/press out; imitate, copy; portray; pronounce, express;
EXPROBRO, EXPROBRARE, EXPROBRAVI, EXPROBRATUS: V      1 1         \bring up as a reproach;
EXPROBRATIO, EXPROBRATIONIS: N      3 1 F       \reproaching, reproach;
EXPROMO, EXPROMERE, EXPROMPI, EXPROMPTUS: V      3 1         \bring out; disclose, reveal;
EXPUO, EXPUERE, EXPUI, EXPUTUS: V      3 1         \spit out; eject; rid oneself of;
EXPUGNO, EXPUGNARE, EXPUGNAVI, EXPUGNATUS: V      1 1         \assault, storm; conquer, plunder; accomplish; persuade;
EXPUGNABILIS, EXPUGNABILIS, EXPUGNABILE: ADJ    3 2 POS     \open to assault;
EXPUGNATIO, EXPUGNATIONIS: N      3 1 F       \storming, taking by storm; assault;
EXPUGNATOR, EXPUGNATORIS: N      3 1 M       \conqueror;
EXPUGNAX, (GEN.), EXPUGNACIS: ADJ    3 1 POS     \effectual in overcoming resistance;
EXPULTRIX, EXPULTRICIS: N      3 1 F       \one who drives out;
EXPURGO, EXPURGARE, EXPURGAVI, EXPURGATUS: V      1 1         \cleanse, purify; exculpate;
EXQUIRO, EXQUIRERE, EXQUISIVI, EXQUISITUS: V      3 1         \seek out, search for, hunt up; inquire into;
EXQUISITUS, EXQUISITA, EXQUISITUM: ADJ    1 1 POS     \sought out, exquisite, excellent;
EXSANGUIS, EXSANGUIS, EXSANGUE: ADJ    3 2 POS     \bloodless, pale, wan, feeble; frightened;
EXSATIO, EXSATIARE, EXSATIAVI, EXSATIATUS: V      1 1         \satisfy, satiate; glut;
EXSATURO, EXSATURARE, EXSATURAVI, EXSATURATUS: V      1 1         \satisfy, sate, glut;
EXSATURABILIS, EXSATURABILIS, EXSATURABILE: ADJ    3 2 POS     \capable of being satiated;
EXSCREO, EXSCREARE, EXSCREAVI, EXSCREATUS: V      1 1         \to cough out/up;
EXSCRIBO, EXSCRIBERE, EXSCRIPSI, EXSCRIPTUS: V      3 1         \copy, write out;
EXSECROR, EXSECRARI, -, EXSECRATUS SUM: V      1 1         \curse; detest;
EXSECRABILIS, EXSECRABILIS, EXSECRABILE: ADJ    3 2 POS     \accursed, detestable;
EXSECRAMENTUM, EXSECRAMENTI: N      2 2 N       \accursed thing; increase, excess (Latham); excrement; (~ auri -> gold fillings);
EXSECRATIO, EXSECRATIONIS: N      3 1 F       \imprecation, curse;
EXSECTIO, EXSECTIONIS: N      3 1 F       \cutting out;
EXSECUTO, EXSECUTERE, EXSECUI, EXSECUTUS: V      3 1         \follow, go after/along; strive after; go on with/persist in; attain/arrive at;
EXSECUTO, EXSECUTERE, EXSECUI, EXSECUTUS: V      3 1         \|execute, carry out (duty); go through, rehearse; persue; develop (topic);
EXSECUTIO, EXSECUTIONIS: N      3 1 F       \performance, carrying out; enforcement (law), act to right wrong; discussion;
EXSEQUOR, EXSEQUI, -, EXSECUTUS SUM: V      3 1         \follow to the grave; follow out/up; perform; accomplish; pursue; carry out;
EXSEQUIA, EXSEQUIAE: N      1 1 F       \funeral procession/rites (pl.);
EXSERO, EXSERERE, EXSERUI, EXSERTUS: V      3 1         \stretch forth; thrust out (of land); put out (plants); lay bare, uncover (body);
EXSICCO, EXSICCARE, EXSICCAVI, EXSICCATUS: V      1 1         \dry up; empty (a vessel);
EXSILIO, EXSILIRE, EXSILIVI, -: V      3 4         \spring/leap/burst forth/out, leap up, start up, bound; emerge into existance;
EXSILIO, EXSILIRE, EXSILUI, -: V      3 4         \spring/leap/burst forth/out, leap up, start up, bound; emerge into existance;
EXSILIUM, EXSILI(I): N      2 4 N       \exile, banishment; place of exile/retreat (L+S); exiles (pl.), those exiled;
EXSISTO, EXSISTERE, EXSTITI, -: V      3 1         \step out, come forth, emerge, appear, stand out, project; arise; come to light;
EXSOLVO, EXSOLVERE, EXSOLVI, EXSOLUTUS: V      3 1         \set free; pay; throw off; release; perform;
EXSOMNIS, EXSOMNIS, EXSOMNE: ADJ    3 2 POS     \sleepless, wakeful;
EXSORS, (GEN.), EXSORTIS: ADJ    3 1 POS     \without share in exempt from lottery;
EXSPATIOR, EXSPATIARI, -, EXSPATIATUS SUM: V      1 1         \digress, go from the course, wander from the way, spread, extend;
EXSPECTO, EXSPECTARE, EXSPECTAVI, EXSPECTATUS: V      1 1         \lookout for, await; expect, anticipate, hope for;
EXSPECTATIO, EXSPECTATIONIS: N      3 1 F       \expectation; suspense;
EXSPERGO, EXSPERGERE, -, EXSPERSUS: V      3 1         \to sprinkle, scatter;
EXSPES, (GEN.), -: ADJ    3 1 POS     \hopeless (only NOM S);
EXSPIRO, EXSPIRARE, EXSPIRAVI, EXSPIRATUS: V      1 1         \breathe out, exhale; expire; cease, die;
EXSPLENDESCO, EXSPLENDESCERE, EXSPLENDUI, -: V      3 1         \glitter; shine; become conspicuous;
